OBJECTID,WRENAME,SYSTEMTYPE,WATERRESID,WRLINK,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,TotalGPCD,TotPotGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,TotPotaSup,PotaWelSup,PotaSprSup,PotaSurSup,SHAPE_Length,SHAPE_Area
454,Bona Vista Water District,C,1639,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1103,Utah,Weber,Weber River,2/1/2009,East Shore,458,136,58,53,4,21,322,14048.2,4157.7,1771.3,1620.8,131.9,633.6,9890.4,1529,558.9,970.1,0,78493.79594,85541388.44
455,Jordan Valley Water Conservancy District (Retail),C,807,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1321,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,179,173,125,32,14,2,6,9467,9174.5,6642.6,1672.3,729.1,130.5,292.5,85660,18000,0,67660,85793.40359,22424541.67
456,Salt Lake City Water System,C,806,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1139,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,191,191,109,46,27,9,0,77867,77867,44272,18792,11176,3627,0,43602,15700,2200,25702,213542.4861,371041065.6
457,Wilson Arch Resort Comm,C,2625,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10908,Utah,San Juan,Southeast Colorado River,9/1/2005,Cane Spring,198,198,198,0,0,0,0,2.2,2.2,2.2,0,0,0,0,55,55,0,0,3843.279175,697875.005
458,Boyer Hill Military Housing,C,2624,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11546,Utah,Davis,Weber River,2/1/2009,East Shore,312,312,312,0,0,0,0,1085.8,1085.8,1085.7,0,0.1,0,0,1092.5,0,0,1092.5,5917.267408,1470877.446
459,M & J Trailer Home Community,C,2627,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11548,Utah,Box Elder,Bear River,1/1/2006,Tremonton,70,70,70,0,0,0,0,2.4,2.4,2.4,0,0,0,0,0,0,0,0,526.536941,14292.5764
460,Santaquin City,C,1293,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1268,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,169,53,44,8,0,0,117,2777.7,861.7,716.5,139.1,6.1,0,1916.1,3900,2452,1448,0,57026.13156,9081676.617
461,Nibley City Water,C,97,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1023,Utah,Cache,Bear River,1/1/2004,Cache Valley,253,182,159,6,13,5,70,2226,1605.9,1399.2,49.4,110.7,46.5,620.2,3610.2,3066.8,543.4,0,31274.21205,10848076.43
462,Cottonwood Mutual,C,721,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1088,Utah,Morgan,Weber River,2/1/2007,Morgan,265,110,104,3,3,0,154,720.4,300.5,281.9,9.2,9.4,0,419.9,569,569,0,0,21799.77071,10232130.62
463,Mountain Springs Water Co.,C,1582,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11153,Utah,Washington,Kanab Creek/Virgin River,10/1/2003,Laverkin,311,311,311,0,0,0,0,230,230,230,0,0,0,0,390,390,0,0,17627.72969,12338847.02
464,Spring Lake,C,1295,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1310,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,418,175,153,14,8,0,243,222.5,93.4,81.6,7.3,4.4,0,129.2,256.8,181.6,75.2,0,9126.413005,1505232.728
465,Canaan Springs Water Co.,C,2755,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11597,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,171,171,171,0,0,0,0,10.7,10.7,10.7,0,0,0,0,10.7,0,10.7,0,9649.532464,1408465.403
466,Orem City Water System,C,1311,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1280,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,213,213,150,25,35,3,0,23305.6,23305.6,16444.2,2689.9,3852.8,318.8,0,18368.6,14914.4,3454.2,0,44971.80761,47303458.18
467,Brooklyn Tapline Co. Inc.,C,1027,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11461,Utah,Sevier,Sevier River,5/4/2002,Richfield,544,544,211,333,0,0,0,98.7,98.7,38.2,60.5,0,0,0,0,0,0,0,12728.11398,1432425.691
468,Hidden Creek Water Co.,C,1418,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11283,Utah,Utah,Utah Lake,4/1/2005,Hobble Creek,193,193,193,0,0,0,0,23.5,23.5,23.5,0,0,0,0,484.2,484.2,0,0,7446.092664,1446761.28
