OBJECTID,WRENAME,SYSTEMTYPE,WATERRESID,WRLINK,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,TotalGPCD,TotPotaGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,ResSecGPCD,ComSecGPCD,InsSecGPCD,IndSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,ResSecoUse,ComSecoUse,InsSecoUse,IndSecoUse,TotalSup,WellsSup,SpringsSup,SurfaceSup,SHAPE_Length,SHAPE_Area
83,Lyman Water System,C,1608,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1110,Utah,Wayne,West Colorado River,08-03-06,Rabbit Valley,712,217,177,3,1,36,496,378,0,118,0,167.52,50.93,41.59,0.73,0.12,8.48,116.59,88.93,0,27.66,0,96.85,0,96.85,0,17428.1048070094,8417616.52591655
84,Greenwich Water Assoc.,C,750,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1022,Utah,Piute,Sevier River,05-05-02,Otter Creek,849,849,849,0,0,0,0,0,0,0,0,57.07,57.07,57.07,0,0,0,0,0,0,0,0,29.82,0,29.82,0,3955.13290337969,945838.947483838
85,Milford City Water,C,3,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1138,Utah,Beaver,Cedar/Beaver,06-01-02,Milford,421,305,181,112,3,10,116,0,0,116,0,749.47,543.12,321.82,198.79,5.4,17.12,206.35,0,0,206.35,0,1856.23,1856.23,0,0,22425.1060208113,11216150.8508197
86,Marysvale Town Water System,C,745,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1216,Utah,Piute,Sevier River,05-04-01,Marysvale,514,514,503,6,5,0,0,0,0,0,0,242.03,242.03,236.58,2.92,2.53,0,0,0,0,0,0,840.14,33.08,807.06,0,41409.9933164732,76021070.6945951
87,Fremont Waterworks Co.,C,1605,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1034,Utah,Wayne,West Colorado River,08-03-06,Rabbit Valley,1118,770,733,0,12,25,348,321,0,27,0,313.14,215.6,205.34,0,3.35,6.91,97.53,89.87,0,7.66,0,398.69,0,398.69,0,33681.0669589935,22331793.8539397
88,Koosharem,C,1033,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1251,Utah,Sevier,Sevier River,05-05-02,Otter Creek,265,211,155,15,41,0,54,43,0,11,0,103.79,82.64,60.57,6.07,15.99,0,21.15,17.02,0,4.13,0,234.05,121.06,112.99,0,11617.5904064276,5483548.85476792
89,Moab City,C,473,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1164,Utah,Grand,Southeast Colorado River,09-01-04,Moab,295,295,130,165,0,0,0,0,0,0,0,1811.56,1811.56,799.55,1012.01,0,0,0,0,0,0,0,3845.13,1766.65,2078.48,0,55508.6837720417,20883919.3959573
90,South Monroe Culinary Water Co.,C,1039,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1002,Utah,Sevier,Sevier River,05-04-02,Richfield,1687,1687,495,0,0,1192,0,0,0,0,0,45.36,45.36,13.31,0,0,32.05,0,0,0,0,0,0,0,0,0,6332.01066397967,1315095.45088456
91,Cove SSD,C,1062,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1190,Utah,Sevier,Sevier River,05-04-02,Richfield,934,859,496,0,0,363,75,75,0,0,0,106.7,98.13,56.67,0,0,41.46,8.57,8.57,0,0,0,129.13,129.13,0,0,15956.1168756194,6913653.53727948
92,Monroe City,C,1034,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1317,Utah,Sevier,Sevier River,05-04-02,Richfield,1641,130,111,10,8,2,1511,1511,0,0,0,4136.78,328.25,279.01,24.59,19.51,5.13,3808.53,3808.53,0,0,0,1289.55,724.47,565.08,0,19705.4979731235,16831609.6122583
93,Joseph Town,C,1032,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1234,Utah,Sevier,Sevier River,05-04-02,Richfield,321,228,216,6,6,0,92,68,0,24,0,143.63,102.2,96.9,2.55,2.75,0,41.43,30.66,0,10.77,0,408,311.15,96.85,0,22000.1884545331,9134764.54049892
94,Day Star Adventist Academy,C,481,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1442,Utah,Grand,Southeast Colorado River,09-01-03,Colorado River/Castle Valley,3934,126,126,0,0,0,3808,0,0,0,0,70.5,2.25,2.25,0,0,0,68.25,0,0,68.25,0,24.21,24.21,0,0,1809.02868169762,121398.933850695
95,Austin SSD,C,1026,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1225,Utah,Sevier,Sevier River,05-04-02,Richfield,177,177,149,15,0,12,0,0,0,0,0,21.75,21.75,18.37,1.84,0,1.54,0,0,0,0,0,116.35,43.71,72.64,0,5258.65868785194,305507.356790824
96,Elsinore Town Water System,C,1030,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1089,Utah,Sevier,Sevier River,05-04-02,Richfield,212,195,165,2,24,4,17,17,0,0,0,273.14,251.2,212.02,3.14,30.69,5.36,21.93,21.93,0,0,0,683.17,553.49,129.68,0,30998.4517281352,9669100.087354
97,Central Valley Town,C,1029,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1290,Utah,Sevier,Sevier River,05-04-02,Richfield,389,326,261,0,50,15,64,64,0,0,0,241.56,202.06,161.78,0,31.06,9.22,39.5,39.5,0,0,0,294.89,157.69,137.2,0,22691.1707231139,11420317.8737934
98,Annabella Town Water System,C,1024,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1063,Utah,Sevier,Sevier River,05-04-02,Richfield,2111,124,124,0,0,0,1987,1661,0,326,0,1927.3,113.28,113.28,0,0,0,1814.02,1516.53,0,297.49,0,782.21,428.72,353.49,0,15173.5082337998,5284839.02440112
99,Glenwood Town Water System,C,1031,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1183,Utah,Sevier,Sevier River,05-04-02,Richfield,379,110,98,0,12,0,269,218,0,51,0,182.73,53.01,47.25,0,5.58,0.17,129.72,104.94,0,24.78,0,181.12,0,181.12,0,6144.29553689976,2218148.42825852
