OBJECTID,WRENAME,SYSTEMTYPE,WATERRESID,WRLINK,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,TotalGPCD,TotPotGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,TotPotaSup,PotaWelSup,PotaSprSup,PotaSurSup,Year,Region,SHAPE_Length,SHAPE_Area
126,Shiloah Wells Water Co. (Eskdale),C,679,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1366,Utah,Millard,West Desert,00-03-01,Snake Valley,1379,1379,1379,0,0,0,0,61.8,61.8,61.8,0,0,0,0,83.1,83.1,0,0,2019,Sevier River,2331.916561,312378.7487
127,Gunnision City,C,972,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1115,Utah,Sanpete,Sevier River,5/1/2000,Gunnison,470,131,30,14,76,11,339,1920.1,535.5,122.5,55.8,311.4,45.8,1384.6,1164.6,801.4,363.2,0,2019,Sevier River,33853.81532,69580833.59
128,Sterling Town Water System,C,977,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1272,Utah,Sanpete,Sevier River,5/1/2000,Gunnison,297,64,55,2,2,5,234,104.3,22.3,19.4,0.7,0.6,1.6,82,167.2,78.4,88.8,0,2019,Sevier River,7886.899042,1078525.94
129,Castle Valley SSD - Castle Dale,C,2460,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1386,Utah,Emery,West Colorado River,8/2/2004,Castle Dale,2331,226,189,9,17,11,2105,4255.5,412.9,345.7,16.7,30.5,20,3842.7,613.4,0,0,613.4,2019,Upper Colorado River,14514.57664,5664767.409
130,Fayette Town Water,C,970,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1320,Utah,Sanpete,Sevier River,5/3/2000,Sevier Bridge,294,220,196,0,19,6,73,90.4,67.9,60.3,0,5.8,1.8,22.5,282.5,282.5,0,0,2019,Sevier River,4864.469134,1070474.125
131,Castle Valley SSD - Orangeville,C,359,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1390,Utah,Emery,West Colorado River,8/2/2004,Castle Dale,135,135,131,3,0,0,0,222.5,222.5,217,5.2,0.3,0,0,613.4,0,0,613.4,2019,Upper Colorado River,14799.2296,3763350.316
132,Manti City,C,973,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1253,Utah,Sanpete,Sevier River,5/1/2000,Gunnison,460,148,79,11,46,13,312,1689.8,543.2,288.5,39.9,168.8,46,1146.6,2953,777,2176,0,2019,Sevier River,27231.83767,8875657.811
133,Scipio Town,C,666,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1146,Utah,Millard,Sevier River,5/2/2002,Scipio,1487,224,141,34,1,48,1264,608.1,91.4,57.6,13.7,0.5,19.5,516.7,435.8,242.1,193.7,0,2019,Sevier River,42328.98009,64517281.37
134,Deseret-Oasis SSD,C,696,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1358,Utah,Millard,Sevier River,5/2/2004,Delta,263,231,197,1,33,0,32,129.4,113.9,97.1,0.4,16.3,0.1,15.6,630.1,630.1,0,0,2019,Sevier River,25909.13721,6806904.26
135,Castle Valley SSD - Huntington,C,357,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1389,Utah,Emery,West Colorado River,8/2/2004,Castle Dale,67,67,56,5,2,3,0,162.2,162.2,135.8,12.8,6,7.6,0,1649.5,0,968.5,681,2019,Upper Colorado River,13762.30333,6095873.116
